method,N_req,frac,N,n_cand,kept,n_pred,n_ref,acc,comp,chamfer,precision@0.1,recall@0.1,f1@0.1,precision@0.2,recall@0.2,f1@0.2,precision@0.5,recall@0.5,f1@0.5,iou
B_argmax,-1,0.5,23.666666666666668,76630.28205128205,38314.94871794872,38314.94871794872,59403.743589743586,0.36737169260728086,0.33479226191343914,0.35108197726036,0.31127866580063634,0.5331785230923415,0.39014341318802787,0.5040263455951604,0.6677289417065325,0.5718644000696191,0.7824580116525832,0.8175648719789594,0.7979288245228238,0.13698253551257733
B_argmax,-1,1.0,23.666666666666668,76630.28205128205,76630.28205128205,76630.28205128205,59403.743589743586,0.5269640586618275,0.24423906558829026,0.38560156212505886,0.2182640206426173,0.6510024122552319,0.32435470132533567,0.38283112750912723,0.7675174054421107,0.5076551182881484,0.6707532629135605,0.8712964625625946,0.7554335601641676,0.10811648191437537
B_argmax,1,0.02,1.0,9813.153846153846,195.71794871794873,195.71794871794873,14955.076923076924,0.23157587534318055,1.76941318660242,1.0004945309728004,0.7378909467630123,0.0471877840711886,0.08846259186650303,0.7896076412681305,0.0780122578314929,0.1412598877161939,0.8365271565670815,0.1767374445069411,0.28843525397034553,0.013219174828797736
B_argmax,1,0.05,1.0,9813.153846153846,490.20512820512823,490.20512820512823,14955.076923076924,0.2060245065261861,1.4579235590478195,0.8319740327870028,0.7266424038020659,0.11064455708360085,0.1911398322278854,0.8039450080734591,0.1682264395849187,0.2764171382637447,0.8752091359131763,0.30546891509962165,0.4492946952773164,0.031999284397951744
B_argmax,1,0.1,1.0,9813.153846153846,980.8974358974359,980.8974358974359,14955.076923076924,0.20502499412130654,1.1124587242859427,0.6587418592036246,0.6748110798851282,0.19481796336287185,0.30043466138407066,0.7815768212338972,0.28818755391835055,0.41895983322929037,0.8872408890236836,0.4582391026798699,0.6013571042392873,0.057420947438753936
B_argmax,1,0.25,1.0,9813.153846153846,2452.923076923077,2452.923076923077,14955.076923076924,0.22867446431471064,0.5936362470410784,0.4111553556778945,0.5555741801521232,0.32518346657690766,0.4078008637148644,0.7101367181396085,0.4916973925721327,0.5788413021968891,0.8794368390209564,0.7156764749918404,0.7865698844213683,0.09851298305097855
B_argmax,1,0.5,1.0,9813.153846153846,4906.307692307692,4906.307692307692,14955.076923076924,0.2843776628508813,0.3855612403527281,0.3349694516018047,0.4452248596023792,0.40886152371620016,0.42333571335329256,0.6215550436359368,0.5931554664382732,0.6044129419982304,0.8393243520103653,0.7992768378942093,0.816600669756088,0.11927736771081474
B_argmax,1,1.0,1.0,9813.153846153846,9813.153846153846,9813.153846153846,14955.076923076924,0.3976212368739396,0.3027498904912686,0.35018556368260406,0.32430353851024485,0.4694841918550891,0.3804701219436487,0.5009183138229476,0.648074729994925,0.561717684362239,0.7559645839089304,0.8497599077498476,0.7974569752091331,0.11479495879008204
B_argmax,2,0.02,2.0,16527.97435897436,330.1025641025641,330.1025641025641,24069.0,0.17392891521483111,1.5511926696968172,0.8625607924558242,0.7223467032812929,0.04969648365798449,0.0927322529029236,0.8292061820107502,0.08915221801077328,0.16033171804340454,0.8937688947098622,0.2025473648992032,0.3285097380718955,0.015185147709771911
B_argmax,2,0.05,2.0,16527.97435897436,825.9487179487179,825.9487179487179,24069.0,0.17391374817489894,1.27582009182963,0.7248669200022645,0.706057284258778,0.11392181668879328,0.19526612373996297,0.8180171586055339,0.18230258385613654,0.29658111327115655,0.8995217106372033,0.33503836823887057,0.4862443088609257,0.036438965568633526
B_argmax,2,0.1,2.0,16527.97435897436,1652.3589743589744,1652.3589743589744,24069.0,0.1833672317088265,0.9615589161532885,0.5724630739310574,0.6671147978416341,0.20408855567254805,0.3105933592176455,0.7954127434624515,0.3102159811616173,0.4438447149975966,0.8984056032836301,0.5027006078785978,0.6426011290971452,0.06635592361098586
B_argmax,2,0.25,2.0,16527.97435897436,4131.51282051282,4131.51282051282,24069.0,0.2205273391515153,0.48939807705895066,0.35496270810523295,0.5507852764953596,0.35127159288539406,0.42662106352938306,0.7166732832144774,0.5313821163043476,0.6078210125708507,0.8803625740885304,0.7594023413206954,0.8135718025884024,0.1139512687737192
B_argmax,2,0.5,2.0,16527.97435897436,8263.692307692309,8263.692307692309,24069.0,0.29148652622484783,0.3106628952376334,0.30107471073124065,0.44034951101933845,0.4486805456263764,0.4418566081706611,0.6231537421840263,0.6430653037926893,0.6304922832941366,0.8381438600307141,0.8428545045201452,0.8386933698845269,0.13465493348068006
B_argmax,2,1.0,2.0,16527.97435897436,16527.97435897436,16527.97435897436,24069.0,0.4288826873943247,0.2378372119694418,0.3333599496818832,0.3210301522620089,0.5248984975621489,0.39573555822104567,0.49986317877441905,0.7156504551913832,0.5855593453953741,0.751579459067892,0.8934126174460693,0.8130951442656892,0.12578865259041805
B_argmax,4,0.02,4.0,29343.02564102564,586.3333333333334,586.3333333333334,34478.53846153846,0.21363955817571692,1.6548266657298119,0.9342331119527643,0.7685085928387272,0.0684929363223222,0.12554013545411902,0.8266490174846203,0.10987392667549309,0.19346544950445319,0.861422143140667,0.2231025559520861,0.3522653515432055,0.024415711183492856
B_argmax,4,0.05,4.0,29343.02564102564,1466.6923076923076,1466.6923076923076,34478.53846153846,0.19535003061510167,1.3245024647208483,0.7599262476679749,0.7542382751211671,0.1530732592621437,0.25366097787254416,0.8305255490407688,0.22088385982579212,0.34725991666675915,0.8821072217031266,0.3654840340944739,0.5124471491295131,0.05823302798734758
B_argmax,4,0.1,4.0,29343.02564102564,2933.871794871795,2933.871794871795,34478.53846153846,0.20017127949052835,0.9673574706153346,0.5837643750529316,0.6821895023197764,0.2523612254135026,0.36711144103294924,0.800223121648762,0.35915113528484893,0.49333407700125276,0.8892760277593575,0.5356713425055607,0.6645478138636179,0.09615781316332689
